username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TheEllenShow;2018-03-21 13:09;2544;12208;"Mila Kunis and Kate McKinnon playing "Speak Out" is more than I can handle. pic.twitter.com/1fHPftx5Xn";;;;"976551477123559425";https://twitter.com/TheEllenShow/status/976551477123559425
TheEllenShow;2018-03-21 11:56;113;1512;"Do you have a big event, and you need to learn a dance for it? How’d ya like a dance lesson from @official_tWitch ? http:// ellen.tv/2FUzbuM";;@official_tWitch;;"976533141383823360";https://twitter.com/TheEllenShow/status/976533141383823360
TheEllenShow;2018-03-21 11:12;12193;39497;"I’m gonna need you to make time to watch @Camila_Cabello perform her new hit, #NeverBeTheSame . pic.twitter.com/GsO44DUWNQ";;@Camila_Cabello;#NeverBeTheSame;"976522052206182400";https://twitter.com/TheEllenShow/status/976522052206182400
TheEllenShow;2018-03-21 10:26;192;2463;"I can’t wait for you to see #SplittingUpTogether . The stars, @JennaFischer and @theOliverHudson , are here today! pic.twitter.com/UOg9H0zc57";;@JennaFischer @theOliverHudson;#SplittingUpTogether;"976510428980260864";https://twitter.com/TheEllenShow/status/976510428980260864
TheEllenShow;2018-03-21 09:22;1972;10112;"The #SpyWhoDumpedMe opens this summer, and here’s an exclusive peek at it! Mila Kunis and Kate McKinnon, you’re hilarious. pic.twitter.com/WNDfqezCUl";;;#SpyWhoDumpedMe;"976494189729886209";https://twitter.com/TheEllenShow/status/976494189729886209
TheEllenShow;2018-03-20 16:27;159;2155;". @SplittingUpABC premieres in one week! I haven’t been this excited to watch a couple break up on national television since the finale of The Bachelor. #SplittingUpTogether pic.twitter.com/LmUfHVWR1i";;@SplittingUpABC;#SplittingUpTogether;"976238721778335744";https://twitter.com/TheEllenShow/status/976238721778335744
TheEllenShow;2018-03-20 15:34;299;3570;"I don’t think anyone gets a warmer welcome on my show than @iamJohnOliver . pic.twitter.com/9Q82wQDwwf";;@iamJohnOliver;;"976225570332712960";https://twitter.com/TheEllenShow/status/976225570332712960
TheEllenShow;2018-03-20 13:57;284;3011;"I played tag with the cast of #TagMovie ! Here are their tags. @Renner4Real @MrJakeJohnson @edhelms @hannibalburess #ThanksSponsor http:// ellen.tv/2pubX3J";;@Renner4Real @MrJakeJohnson @edhelms @hannibalburess;#TagMovie #ThanksSponsor;"976201183596396544";https://twitter.com/TheEllenShow/status/976201183596396544
TheEllenShow;2018-03-20 12:47;1375;8425;". @theKalenAllen was my guest DJ and I gave him a Christian Cowan suit. pic.twitter.com/GV5zaLryps";;@theKalenAllen;;"976183579146305536";https://twitter.com/TheEllenShow/status/976183579146305536
TheEllenShow;2018-03-20 12:09;677;4014;"Is @iamJohnOliver saving the world? I say yes. pic.twitter.com/XIFIQDoYRy";;@iamJohnOliver;;"976173898680082434";https://twitter.com/TheEllenShow/status/976173898680082434
